idioma;archivo;id;texto
fr;confinamiento_geometrico.py;001;round
fr;confinamiento_geometrico.py;002;yellow
fr;confinamiento_geometrico.py;003;round
fr;confinamiento_geometrico.py;004;yellow
fr;confinamiento_geometrico.py;005;Génération de l'animation SVG du confinement...
fr;confinamiento_geometrico.py;006;✅ Animation SVG terminée
fr;confinamiento_geometrico.py;007;__main__
fr;confinamiento_geometrico.py;008;Génération de l'animation SVG du confinement...
fr;confinamiento_geometrico.py;009;✅ Animation SVG terminée
fr;confinamiento_geometrico.py;010;equal
fr;confinamiento_geometrico.py;011;Onde ψ(x)
fr;confinamiento_geometrico.py;012;Position x
fr;confinamiento_geometrico.py;013;Amplitude ψ(x)
fr;confinamiento_geometrico.py;014;CONFINEMENT EINSTEIN-VED: Onde → Particule
fr;confinamiento_geometrico.py;015;bold
fr;confinamiento_geometrico.py;016;equal
fr;confinamiento_geometrico.py;017;brown
fr;confinamiento_geometrico.py;018;Position x
fr;confinamiento_geometrico.py;019;Amplitude ψ(x)
fr;confinamiento_geometrico.py;020;1. Onde Sinusoïdale sur Surface Plane
fr;confinamiento_geometrico.py;021;bold
fr;confinamiento_geometrico.py;022;gray
fr;confinamiento_geometrico.py;023;center
fr;confinamiento_geometrico.py;024;red
fr;confinamiento_geometrico.py;025;2. Transition: Enroulement ({progress*100:.0f}%)
fr;confinamiento_geometrico.py;026;bold
fr;confinamiento_geometrico.py;027;Coordonnée X
fr;confinamiento_geometrico.py;028;Coordonnée Y
fr;confinamiento_geometrico.py;029;gray
fr;confinamiento_geometrico.py;030;red
fr;confinamiento_geometrico.py;031;Confinée (n={n_cycles})
fr;confinamiento_geometrico.py;032;CONDITION EINSTEIN-VED: L = {n_cycles}λ
fr;confinamiento_geometrico.py;033;bold
fr;confinamiento_geometrico.py;034;3. Onde Auto-Confinée - Particule Stable
fr;confinamiento_geometrico.py;035;bold
fr;confinamiento_geometrico.py;036;Coordonnée X
fr;confinamiento_geometrico.py;037;Coordonnée Y
fr;confinamiento_geometrico.py;038;svg
fr;confinamiento_geometrico.py;039;tight
fr;confinamiento_geometrico.py;040;brown
fr;confinamiento_geometrico.py;041;equal
fr;confinamiento_geometrico.py;042;a) Onde Plane Libre
fr;confinamiento_geometrico.py;043;bold
fr;confinamiento_geometrico.py;044;Position x
fr;confinamiento_geometrico.py;045;Amplitude ψ(x)
fr;confinamiento_geometrico.py;046;orange
fr;confinamiento_geometrico.py;047;equal
fr;confinamiento_geometrico.py;048;b) Transition
fr;confinamiento_geometrico.py;049;bold
fr;confinamiento_geometrico.py;050;Coordonnée X
fr;confinamiento_geometrico.py;051;Coordonnée Y
fr;confinamiento_geometrico.py;052;gray
fr;confinamiento_geometrico.py;053;red
fr;confinamiento_geometrico.py;054;equal
fr;confinamiento_geometrico.py;055;c) Confiné n=3\nL = 3λ
fr;confinamiento_geometrico.py;056;bold
fr;confinamiento_geometrico.py;057;Coordonnée X
fr;confinamiento_geometrico.py;058;Coordonnée Y
fr;confinamiento_geometrico.py;059;CONDITION: L = nλ
fr;confinamiento_geometrico.py;060;center
fr;confinamiento_geometrico.py;061;bold
fr;confinamiento_geometrico.py;062;svg
fr;confinamiento_geometrico.py;063;tight
fr;confinamiento_geometrico_tiempo.py;001;n=1: Tube espace-temps lisse + onde circulaire fondamentale
fr;confinamiento_geometrico_tiempo.py;002;n=3: Variété espace-temps + onde avec 3 nœuds
fr;confinamiento_geometrico_tiempo.py;003;Comparaison côte à côte n=1 vs n=3
fr;confinamiento_geometrico_tiempo.py;004;Montre comment les courbes dt génèrent la surface n=1
fr;confinamiento_geometrico_tiempo.py;005;Montre comment les courbes dt génèrent la surface n=3
fr;confinamiento_geometrico_tiempo.py;006;Évolution complète dt à travers δt
fr;confinamiento_geometrico_tiempo.py;007;round
fr;confinamiento_geometrico_tiempo.py;008;white
fr;confinamiento_geometrico_tiempo.py;009;🎨 GÉNÉRATION DES 6 GRAPHIQUES COMPLETS EINSTEIN-VED...
fr;confinamiento_geometrico_tiempo.py;010;\n✅ 6 GRAPHIQUES COMPLETS:
fr;confinamiento_geometrico_tiempo.py;011;__main__
fr;confinamiento_geometrico_tiempo.py;012;lightblue
fr;confinamiento_geometrico_tiempo.py;013;red
fr;confinamiento_geometrico_tiempo.py;014;ÉTAT FONDAMENTAL n=1\nEspace-Temps + Onde Circulaire
fr;confinamiento_geometrico_tiempo.py;015;bold
fr;confinamiento_geometrico_tiempo.py;016;tight
fr;confinamiento_geometrico_tiempo.py;017;white
fr;confinamiento_geometrico_tiempo.py;018;red
fr;confinamiento_geometrico_tiempo.py;019;ÉTAT EXCITÉ n=3\nVariété Espace-Temps + 3 Nœuds
fr;confinamiento_geometrico_tiempo.py;020;bold
fr;confinamiento_geometrico_tiempo.py;021;tight
fr;confinamiento_geometrico_tiempo.py;022;white
fr;confinamiento_geometrico_tiempo.py;023;lightblue
fr;confinamiento_geometrico_tiempo.py;024;red
fr;confinamiento_geometrico_tiempo.py;025;n=1: État Fondamental
fr;confinamiento_geometrico_tiempo.py;026;bold
fr;confinamiento_geometrico_tiempo.py;027;red
fr;confinamiento_geometrico_tiempo.py;028;n=3: État Excité
fr;confinamiento_geometrico_tiempo.py;029;bold
fr;confinamiento_geometrico_tiempo.py;030;tight
fr;confinamiento_geometrico_tiempo.py;031;white
fr;confinamiento_geometrico_tiempo.py;032;lightblue
fr;confinamiento_geometrico_tiempo.py;033;red
fr;confinamiento_geometrico_tiempo.py;034;green
fr;confinamiento_geometrico_tiempo.py;035;green
fr;confinamiento_geometrico_tiempo.py;036;green
fr;confinamiento_geometrico_tiempo.py;037;bold
fr;confinamiento_geometrico_tiempo.py;038;GÉNÉRATION n=1: dt → Surface\nCourbes Circulaires Génèrent Cylindre
fr;confinamiento_geometrico_tiempo.py;039;bold
fr;confinamiento_geometrico_tiempo.py;040;tight
fr;confinamiento_geometrico_tiempo.py;041;white
fr;confinamiento_geometrico_tiempo.py;042;red
fr;confinamiento_geometrico_tiempo.py;043;green
fr;confinamiento_geometrico_tiempo.py;044;green
fr;confinamiento_geometrico_tiempo.py;045;green
fr;confinamiento_geometrico_tiempo.py;046;bold
fr;confinamiento_geometrico_tiempo.py;047;GÉNÉRATION n=3: dt → Variété\nCourbes avec Nœuds Génèrent Géométrie
fr;confinamiento_geometrico_tiempo.py;048;bold
fr;confinamiento_geometrico_tiempo.py;049;tight
fr;confinamiento_geometrico_tiempo.py;050;white
fr;confinamiento_geometrico_tiempo.py;051;red
fr;confinamiento_geometrico_tiempo.py;052;darkred
fr;confinamiento_geometrico_tiempo.py;053;δt={t}
fr;confinamiento_geometrico_tiempo.py;054;center
fr;confinamiento_geometrico_tiempo.py;055;bold
fr;confinamiento_geometrico_tiempo.py;056;blue
