idioma;archivo;id;texto
sk;confinamiento_geometrico.py;001;round
sk;confinamiento_geometrico.py;002;yellow
sk;confinamiento_geometrico.py;003;round
sk;confinamiento_geometrico.py;004;yellow
sk;confinamiento_geometrico.py;005;Generovanie SVG animácie uväznenia...
sk;confinamiento_geometrico.py;006;✅ SVG animácia dokončená
sk;confinamiento_geometrico.py;007;__main__
sk;confinamiento_geometrico.py;008;Generovanie SVG animácie uväznenia...
sk;confinamiento_geometrico.py;009;✅ SVG animácia dokončená
sk;confinamiento_geometrico.py;010;equal
sk;confinamiento_geometrico.py;011;Vlna ψ(x)
sk;confinamiento_geometrico.py;012;Pozícia x
sk;confinamiento_geometrico.py;013;Amplitúda ψ(x)
sk;confinamiento_geometrico.py;014;EINSTEIN-VED UVÄZNENIE: Vlna → Častica
sk;confinamiento_geometrico.py;015;bold
sk;confinamiento_geometrico.py;016;equal
sk;confinamiento_geometrico.py;017;brown
sk;confinamiento_geometrico.py;018;Pozícia x
sk;confinamiento_geometrico.py;019;Amplitúda ψ(x)
sk;confinamiento_geometrico.py;020;1. Sínusová vlna na plochom povrchu
sk;confinamiento_geometrico.py;021;bold
sk;confinamiento_geometrico.py;022;gray
sk;confinamiento_geometrico.py;023;center
sk;confinamiento_geometrico.py;024;red
sk;confinamiento_geometrico.py;025;2. Prechod: Zvinovanie ({progress*100:.0f}%)
sk;confinamiento_geometrico.py;026;bold
sk;confinamiento_geometrico.py;027;X súradnica
sk;confinamiento_geometrico.py;028;Y súradnica
sk;confinamiento_geometrico.py;029;gray
sk;confinamiento_geometrico.py;030;red
sk;confinamiento_geometrico.py;031;Uväznená (n={n_cycles})
sk;confinamiento_geometrico.py;032;EINSTEIN-VED PODMIENKA: L = {n_cycles}λ
sk;confinamiento_geometrico.py;033;bold
sk;confinamiento_geometrico.py;034;3. Samo-uväznená vlna - Stabilná častica
sk;confinamiento_geometrico.py;035;bold
sk;confinamiento_geometrico.py;036;X súradnica
sk;confinamiento_geometrico.py;037;Y súradnica
sk;confinamiento_geometrico.py;038;svg
