idioma,archivo,id,texto
es,0-busca-regenera.py,1,dic
es,0-busca-regenera.py,2,global.csv
es,0-busca-regenera.py,3,es-*.dic
es,0-busca-regenera.py,4,es-
es,0-busca-regenera.py,5,.dic
es,0-busca-regenera.py,6,utf-8
es,0-busca-regenera.py,7,*-*.dic
es,0-busca-regenera.py,8,es-
es,0-busca-regenera.py,9,utf-8
es,0-busca-regenera.py,10,.py
es,0-busca-regenera.py,11,{idioma}-{archivo_sinpy}.dic
es,0-busca-regenera.py,12,utf-8
es,0-busca-regenera.py,13,idioma
es,0-busca-regenera.py,14,archivo
es,0-busca-regenera.py,15,texto
es,0-busca-regenera.py,16,❌ No se encuentra {GLOBAL_CSV}
es,0-busca-regenera.py,17,utf-8
es,0-busca-regenera.py,18,\rProcesando línea: {cuenta_lineas}
es,0-busca-regenera.py,19,\n\n===== Guardando diccionarios actualizados =====
es,0-busca-regenera.py,20,\n===== Estadísticas finales =====
es,0-busca-regenera.py,21,Idioma: {idioma}
es,0-busca-regenera.py,22,Correcto
es,0-busca-regenera.py,23,"Incompleto, faltan {total_es - total_idioma} líneas"
es,0-busca-regenera.py,24,Diccionario {idioma}-{archivo}: {total_idioma}/{total_es} líneas → {estado}
es,0-busca-regenera.py,25,Procesado completado para idiomas:
es,0-busca-regenera.py,26,__main__
es,1-init-dic.py,1,todas
es,1-init-dic.py,2,todo
es,1-init-dic.py,3,todas
es,1-init-dic.py,4,todo
es,1-init-dic.py,5,tmp
es,1-init-dic.py,6,..\\log
es,1-init-dic.py,7,"Procesa un CSV de traducciones, validando con el diccionario español.
    Retorna las líneas válidas para reincorporar al diccionario de cada idioma."
es,1-init-dic.py,8,Renombra un CSV procesado para evitar reprocesarlo.
es,1-init-dic.py,9,_procesado
es,1-init-dic.py,10,Ejecuta la actualización de diccionarios desde CSV.
es,1-init-dic.py,11,todas
es,1-init-dic.py,12,todo
es,1-init-dic.py,13,*.csv
es,1-init-dic.py,14,__main__
es,1-init-dic.py,15,todas
es,1-init-dic.py,16,todo
es,1-init-dic.py,17,todas
es,1-init-dic.py,18,todo
es,1-init-dic.py,19,tmp
es,1-init-dic.py,20,..\\log
es,1-init-dic.py,21,"Procesa un CSV de traducciones, validando con el diccionario español.
    Retorna las líneas válidas para reincorporar al diccionario de cada idioma."
es,1-init-dic.py,22,Renombra un CSV procesado para evitar reprocesarlo.
es,1-init-dic.py,23,_procesado
